PDT	943
SYM	1
WDT	6645
MD	14117
RB	53193
VBZ	39494
RBR	2128
JJR	3740
POS	13066
DT	126337
FW	324
PRP	42879
WP	6133
CC	36814
NNS	67012
IN	142077
TO	29779
RBS	832
RP	4391
JJ	84523
VBP	24629
JJS	3064
LS	14
VB	41492
VBG	23292
VBD	29923
CD	18168
NN	172434
UH	566
NNPS	1864
VBN	23053
EX	2050
WRB	5391
NNP	118618
PRP$	16056
WP$	260
